Tier,Country,Organization Name,Status,Category,Alignment with MI (1-5),Urban Relevance (1-5),Scale Potential (1-5),Geographic Reach,Website,Notes,Confirmed / Likely Urban & Peri-Urban Areas of Operation,Confidence Level,Alignment Numeric (Ignore),Scale Numberic (Ignore),align_n,scale_n,urban_n
Tier 1,Peru,FINCA Peru,Idea,"INGO, MFI",5 - Excellent Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),4 - International,https://copeme.org.pe/,Strong global MFI with direct access to microentrepreneurs; highly aligned with MI.,"Lima, Ayacucho, Huancayo, Cusco",High,5,4,5,4,3.0
Tier 2,Mexico,VisionFund Mexico,Idea,"MFI, Faith-Based",5 - Excellent Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),4 - International,https://www.worldvisionmexico.org.mx/,Faith-based microfinance institution providing loans and support to low-income entrepreneurs; strong mission alignment and direct pipeline of urban microentrepreneurs.,"Mexico City metro, Puebla, Estado de México, Oaxaca, Chiapas",Low,5,4,5,4,3.0
Tier 2,Mexico,CREA,Idea,"NGO, Women-Focused, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,3 - Good (200-499),2 - Regional,https://creaac.squarespace.com/about-us,Women-focused organization delivering business training and support to urban microentrepreneurs; strong alignment with MI and direct access to early-stage entrepreneurs.,"Mexico City, Guadalajara, Monterrey",High,5,3,5,3,5.0
Tier 2,Mexico,IDEASnet,Idea,Entrepreneur Support Org,3 - Good Fit,4 – Strong Urban Presence,2 - Fair (50-199),2 - Regional,https://migrantbusinessinmexico.ideasnet.org/,Entrepreneurship network supporting small business development through training and connections; relevant but smaller and less consistent pipeline.,"Mexico City, Guadalajara, Tijuana, Monterrey",Medium,3,2,3,2,4.0
Tier 2,Mexico,Mastercard Foundation - Strive Mexico,Idea,Corporate,3 - Good Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",4 - International,https://www.strivecommunity.org/programs/strive-mexico-roads-to-resilience-for-mses,Large-scale program supporting small business resilience through partners; strong mission alignment but indirect access to entrepreneurs.,"Mexico City, Guadalajara, Monterrey",Medium,3,5,3,5,4.0
Tier 2,Mexico,Pro Mujer Mexico,Idea,"INGO, Entrepreneur Support Org",5 - Excellent Fit,4 – Strong Urban Presence,4 - Very Good (500-999),4 - International,https://promujer.org/,"Highly aligned organization providing financial services, training, and health support to low-income women entrepreneurs; strong, direct pipeline of urban microentrepreneurs.","Mexico City metro, State of Mexico peri-urban corridor",High,5,4,5,4,4.0
Tier 2,Mexico,Compartamos Banco,Idea,MFI,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.compartamos.com.mx/,Large microfinance bank serving millions of borrowers; strong pipeline access but more commercially oriented with weaker mission alignment.,"Mexico City metro, Puebla, Guadalajara, Monterrey, León, Querétaro, Toluca",High,3,5,3,5,3.0
Tier 2,Mexico,Financiera Independencia,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.independencia.com.mx/,Consumer and microenterprise lender with broad reach among lower-income populations; accessible pipeline but less focused on development outcomes.,"Mexico City metro, Guadalajara, Monterrey, Puebla, Querétaro",High,4,5,4,5,3.0
Tier 2,Mexico,Banco Azteca,Idea,MFI,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.bancoazteca.com.mx/,Mass-market financial institution serving informal sector clients; very high scale but least aligned with MI’s mission and mentorship model.,"Mexico City, Guadalajara, Monterrey, Puebla, Tijuana, León, Mérida",Medium,3,5,3,5,3.0
Tier 2,Mexico,Gentera,Idea,Corporate,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",4 - International,https://www.gentera.com.mx/gentera/,Parent company of microfinance institutions including Compartamos; large ecosystem player but indirect access to entrepreneurs.,"Mexico City metro, Guadalajara, Monterrey, Puebla",Medium,3,5,3,5,3.0
Tier 2,Mexico,Caja Popular Mexicana,Idea,Co-op,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.cpm.coop/,Member-owned cooperative providing financial services to small entrepreneurs; strong alignment and trusted network with accessible pipeline.,"León, Querétaro, Guanajuato, Aguascalientes, San Luis Potosí, Guadalajara region",Medium,4,5,4,5,3.0
Tier 2,Mexico,Fundación ProEmpleo,Idea,"NGO, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),3 - National,https://proempleo.org.mx/inicio/index.php,"Leading NGO offering business training, mentoring, and incubation for microentrepreneurs; highly aligned with MI and strong direct pipeline.","Mexico City, Guadalajara, Monterrey, Puebla, Querétaro, Mérida",High,5,4,5,4,5.0
Tier 2,Mexico,Accion Mexico,Idea,INGO,3 - Good Fit,Unknown,4 - Very Good (500-999),4 - International,https://www.accion.org/,"Works through financial institutions to expand access to microfinance; mission aligned but indirect, partner-dependent pipeline.","Mexico City, Guadalajara, Monterrey",Low,3,4,3,4,
Tier 2,Mexico,Nacional Financiera,Idea,Government,3 - Good Fit,2 – Limited Urban Relevance,"5 - Excellent (1,000+)",3 - National,https://www.nafin.com/portalnf/content/home/home.html,Government development bank supporting SMEs through financing and training programs; large reach but indirect access to entrepreneurs.,"Mexico City, Monterrey, Guadalajara, Querétaro, León, Puebla",Medium,3,5,3,5,2.0
Tier 2,Mexico,World Vision Mexico,Idea,INGO,3 - Good Fit,2 – Limited Urban Relevance,3 - Good (200-499),2 - Regional,https://www.worldvisionmexico.org.mx/,"Nonprofit working on livelihoods and economic empowerment initiatives; moderate alignment with some access to entrepreneur cohorts, though scale is less clear.","Mexico City outskirts, Puebla, Oaxaca, Chiapas",Low,3,3,3,3,2.0
Tier 2,Mexico,Fundación Carlos Slim,Idea,Corporate,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://fundacioncarlosslim.org/,Large foundation providing digital education and entrepreneurship training programs; significant reach but limited direct cohort pipeline.,"Mexico City, Guadalajara, Monterrey",Medium,3,5,3,5,3.0
Tier 2,Mexico,Grameen Foundation Mexico,Idea,"INGO, Entrepreneur Support Org",3 - Good Fit,Unknown,"5 - Excellent (1,000+)",4 - International,https://grameenfoundation.org/partners/about-us/where-we-work,Supports financial inclusion systems and partners rather than direct entrepreneurs; mission aligned but two steps removed from pipeline access.,"Mexico City, Guadalajara, Monterrey",Low,3,5,3,5,
Tier 2,Honduras,ODEF Financiera,Idea,MFI,5 - Excellent Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://odeffinancierasa.hn/,"One of the strongest MFIs in Honduras focused on microentrepreneurs; direct, structured pipeline with strong alignment.","Tegucigalpa, San Pedro Sula, La Ceiba, Choloma",High,5,4,5,4,3.0
Tier 2,Honduras,Fundación Covelo,Idea,NGO,3 - Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://fundacioncovelo.hn/,Supports MFIs and financial ecosystem rather than direct entrepreneurs; useful intermediary but indirect pipeline.,"Tegucigalpa, San Pedro Sula (through partner institutions)",Medium,3,4,3,4,3.0
Tier 2,Honduras,AHSETFIN,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),3 - National,https://www.ahsetfin.org.hn/,Works with underserved populations including urban entrepreneurs; moderate but accessible pipeline.,"Tegucigalpa, San Pedro Sula, Choluteca",Medium,4,3,4,3,3.0
Tier 2,Honduras,CDE MIPYME Honduras,Idea,Entrepreneur Support Org,5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),3 - National,https://cdemipymeroc.org/cdenacional.html,Network of business development centers providing training and advisory services; strong pipeline of pre-screened entrepreneurs.,"Tegucigalpa, San Pedro Sula, La Ceiba, Choloma, Comayagua",High,5,4,5,4,5.0
Tier 2,Honduras,Opportunity International Honduras,Idea,INGO,4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),4 - International,https://opportunityinternational.ca/what-we-do/where-we-work/honduras/,Provides financial services and training through partners; good mission alignment with moderately direct pipeline.,"Tegucigalpa, San Pedro Sula",Low,4,4,4,4,3.0
Tier 2,Honduras,VisionFund Honduras,Idea,"MFI, Faith-Based",5 - Excellent Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),4 - International,https://legacy.visionfund.org/where-we-work/latin-america/honduras,Faith-based microfinance institution with strong mission alignment and direct access to entrepreneur groups.,"Tegucigalpa, San Pedro Sula, La Ceiba",Medium,5,4,5,4,3.0
Tier 2,Honduras,Adelante Foundation,Idea,"MFI, Women-Focused",5 - Excellent Fit,4 – Strong Urban Presence,3 - Good (200-499),2 - Regional,https://adelantefoundation.org/,"Group-based lending model focused on women entrepreneurs; strong alignment and structured cohorts, moderate scale.","Tegucigalpa, Comayagüela, peri-urban communities surrounding Tegucigalpa",High,5,3,5,3,4.0
Tier 2,Honduras,Ciudad Mujer Honduras,Idea,"Government, Women-Focused",4 - Very Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://ciudadmujer.gob.hn,Provides integrated services to women including entrepreneurship support; good access to urban cohorts.,"Tegucigalpa, San Pedro Sula, Choloma, La Ceiba",High,4,4,4,4,4.0
Tier 2,Honduras,PRISMA Honduras,Idea,NGO,3 - Good Fit,2 – Limited Urban Relevance,2 - Fair (50-199),2 - Regional,https://prismahonduras.net/,Focus on livelihoods and development; smaller and less clearly microenterprise-focused. Core model seems to be rural.,"Western Honduras rural corridor, limited urban operations in Tegucigalpa",Low,3,2,3,2,2.0
Tier 2,Honduras,GOAL (Barrio Resiliente),Idea,INGO,4 - Very Good Fit,5 – Highly Urban-Focused,3 - Good (200-499),4 - International,https://www.goalglobal.org/stories/barrio-resiliente-building-resilience-changing-lives/,Urban resilience programs targeting informal settlements; good entry point to urban microentrepreneurs.,"Tegucigalpa informal settlements, San Pedro Sula informal settlements",High,4,3,4,3,5.0
Tier 2,Honduras,World Renew,Idea,"INGO, Faith-Based",4 - Very Good Fit,2 – Limited Urban Relevance,3 - Good (200-499),4 - International,https://worldrenew.net/honduras,Community development and livelihoods programming; mission aligned with moderate pipeline access.,"Tegucigalpa, peri-urban development communities",Low,4,3,4,3,2.0
Tier 2,Honduras,SENPRENDE,Idea,Government,3 - Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://senprende.hn/,National entrepreneurship support agency; large reach but indirect pipeline.,"Tegucigalpa, San Pedro Sula, La Ceiba, Choluteca",Medium,3,4,3,4,3.0
Tier 2,Honduras,ProMujer Honduras,Idea,"INGO, Women-Focused, Entrepreneur Support Org",5 - Excellent Fit,4 – Strong Urban Presence,4 - Very Good (500-999),4 - International,https://promujer.org/,Strong alignment with MI model; combines financial services and training for women entrepreneurs. Works in connection with the National Club of Women Entrepreneurs in Honduras,"Tegucigalpa, San Pedro Sula",High,5,4,5,4,4.0
Tier 2,Honduras,Voces Vitales Honduras,In Conversation,"NGO, Women-Focused, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),4 - International,https://www.vocesvitaleshonduras.org/,Leadership and entrepreneurship programs for women; good alignment with moderate pipeline.,"Tegucigalpa, San Pedro Sula",High,4,3,4,3,4.0
Tier 2,Ghana,Africa Skills Hub,Idea,"Vocational School, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),2 - Regional,https://africaskillshub.co/,"Skills training + entrepreneurship pathways; good urban youth pipeline, though more early-stage entrepreneurs.","Accra, Kumasi",High,4,3,4,3,4.0
Tier 2,Ghana,Sinapi Aba Trust,Idea,"MFI, Faith-Based",5 - Excellent Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.sinapiaba.org/,One of the strongest MI-aligned partners; group lending + strong urban/peri-urban microentrepreneur base.,"Kumasi, Accra, Takoradi, Tamale",High,5,5,5,5,3.0
Tier 2,Ghana,Advans Ghana,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://advansghana.com/,Strong urban SME/microenterprise focus; more commercial but excellent pipeline.,"Accra, Kumasi, Tema, Takoradi",High,4,5,4,5,3.0
Tier 2,Ghana,Fidelity Bank Ghana (micro segment),In Conversation,"MFI, Corporate",3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://fidelitybank.com.gh/,Large SME and microenterprise portfolio; strong access but more commercial orientation.,"Accra, Kumasi, Tema, Takoradi, Tamale",Medium,3,5,3,5,3.0
Tier 2,Ghana,Women’s World Banking Ghana,Idea,"INGO, Women-Focused",3 - Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),4 - International,https://www.womensworldbanking.org/where-we-work/africa/,Works through financial institution partners; strong mission but indirect pipeline.,"Accra, Kumasi (through partner institutions)",Medium,3,4,3,4,4.0
Tier 2,Ghana,Ghana Cooperative Credit Unions Association,Idea,Co-op,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.cua.org.gh/,Large network of credit unions; strong reach but indirect access to entrepreneurs.,"Accra, Kumasi, Tamale, Takoradi (through member credit unions)",Medium,3,5,3,5,3.0
Tier 2,Ghana,Youth Employment Agency Ghana,Idea,Government,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://yea.gov.gh/,Large youth-focused programs; pipeline exists but more pre-entrepreneur / early-stage.,"Accra, Kumasi, Tamale, Takoradi",Medium,3,5,3,5,3.0
Tier 2,Ghana,Ghana Enterprise Agency (GEA),Idea,"Government, Entrepreneur Support Org",4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://gea.gov.gh/,One of the strongest SME support pipelines; indirect but highly scalable.,"Accra, Kumasi, Tema, Tamale, Takoradi",High,4,5,4,5,3.0
Tier 2,Ghana,Ghana Chamber of Young Entrepreneurs (GCYE),Idea,Chamber of Commerce,3 - Good Fit,4 – Strong Urban Presence,3 - Good (200-499),3 - National,https://gcyegh.org/,Network of young entrepreneurs; accessible but more growth-stage than micro.,"Accra, Kumasi",High,3,3,3,3,4.0
Tier 2,Ghana,SheRise Ghana,Idea,"NGO, Women-Focused",4 - Very Good Fit,4 – Strong Urban Presence,2 - Fair (50-199),2 - Regional,https://www.sherisetech.org/,Women-focused entrepreneurship programs; strong alignment but smaller scale.,"Accra, Kumasi",Medium,4,2,4,2,4.0
Tier 2,Ghana,L'AINE Foundation,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),2 - Regional,https://lainefoundation.org/,Focuses on youth employment and enterprise; good urban pipeline potential.,"Accra, Kumasi, Tema",Medium,4,3,4,3,4.0
Tier 2,Ghana,Accion Ghana,Idea,INGO,3 - Good Fit,Unknown,4 - Very Good (500-999),4 - International,https://www.accion.org/,Works through financial institutions; strong ecosystem player but indirect pipeline.,"Accra, Kumasi (through financial institution partners)",Low,3,4,3,4,
Tier 2,Cambodia,NGO Pact - Cambodia,Idea,INGO,3 - Good Fit,2 – Limited Urban Relevance,3 - Good (200-499),4 - International,https://www.pactworld.org/country/cambodia,Large INGO implementing livelihoods and women’s economic empowerment programs in Cambodia; potential access to entrepreneur cohorts is project-dependent rather than a consistent pipeline.,"Phnom Penh, Siem Reap (project-dependent programming)",Low,3,3,3,3,2.0
Tier 2,Cambodia,iDE Cambodia,Idea,"INGO, Entrepreneur Support Org",4 - Very Good Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),4 - International,https://www.ideglobal.org/country/cambodia#59584,"Market systems organization focused on income generation and entrepreneurship; strong scale and infrastructure, but requires targeting urban/non-agriculture programs for best fit.","Phnom Penh, Siem Reap, Battambang",Medium,4,4,4,4,2.0
Tier 2,Cambodia,Artisans' Association of Cambodia (AAC),Idea,Co-op,4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),2 - Regional,https://www.ccc-cambodia.org/en/ngodb/ngo-information/2070,"Network of artisan SMEs providing business support, quality standards, and market access; strong niche pipeline of urban craft and tourism-linked entrepreneurs.","Phnom Penh, Siem Reap",Medium,4,3,4,3,3.0
Tier 2,Cambodia,Sasakawa Peace Foundation,Idea,"INGO, Entrepreneur Support Org",2 - Fair Fit,2 – Limited Urban Relevance,2 - Fair (50-199),4 - International,https://www.spf.org/en/social-innovation/programs/V20240141.html,Mentorship-focused network connecting entrepreneurs with mentors; highly aligned with MI model but better suited as a complementary partner than a primary sourcing channel.,Phnom Penh,Low,2,2,2,2,2.0
Tier 2,Cambodia,SHE Investments,Idea,"Women-Focused, Entrepreneur Support Org",5 - Excellent Fit,4 – Strong Urban Presence,3 - Good (200-499),4 - International,https://sheinvestments.com/,"Supported by iDE Cambodia. Women-focused incubator providing training, mentoring, and financing to early-stage businesses; highly aligned, with a strong pipeline of pre-screened urban entrepreneurs.","Phnom Penh, Siem Reap",High,5,3,5,3,4.0
Tier 2,Cambodia,SNV Netherlands Development Organisation,Idea,INGO,3 - Good Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),4 - International,https://www.snv.org/country/cambodia,Runs urban livelihoods + SME development programs,"Phnom Penh, secondary urban SME corridors",Medium,3,4,3,4,2.0
Tier 2,Cambodia,CARE Cambodia,Idea,"INGO, Women-Focused",3 - Good Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),4 - International,https://www.care-cambodia.org/,Strong women-focused microenterprise + urban resilience programming. Also linked to microfinance platforms like Lendwithcare supporting Cambodian entrepreneurs,"Phnom Penh, Battambang, Siem Reap",Medium,3,4,3,4,2.0
Tier 2,Cambodia,World Vision Cambodia,Idea,INGO,3 - Good Fit,2 – Limited Urban Relevance,"5 - Excellent (1,000+)",4 - International,https://www.wvi.org/cambodia,"Large scale, includes livelihoods + urban youth economic empowerment. MI training would be a nice complement","Phnom Penh outskirts, Siem Reap, Battambang",Low,3,5,3,5,2.0
Tier 2,Cambodia,Angkor Mikroheranhvatho Kampuchea,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.amkcambodia.com/,One of the largest MFIs in Cambodia with hundreds of thousands of borrowers,"Phnom Penh, Siem Reap, Battambang, Kampong Cham",High,4,5,4,5,3.0
Tier 2,Cambodia,Hattha Bank,Idea,MFI,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.hatthabank.com/,"~177 branches nationwide, strong SME lending infrastructure","Phnom Penh, Siem Reap, Battambang, Sihanoukville",High,3,5,3,5,3.0
Tier 2,Cambodia,PRASAC Microfinance Institution,Idea,MFI,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.fmo.nl/project-detail/31701,One of the largest financial institutions in Cambodia (huge SME base),"Phnom Penh, Siem Reap, Battambang, Sihanoukville",High,3,5,3,5,3.0
Tier 2,Cambodia,ACLEDA Bank,Idea,MFI,4 - Very Good Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",4 - International,https://www.acledabank.com.kh/kh/eng/,Started as an MFI → now dominant SME bank in urban Cambodia,"Phnom Penh, Siem Reap, Battambang, Sihanoukville",High,4,5,4,5,4.0
Tier 2,Cambodia,Sathapana Bank,Idea,MFI,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.sathapana.com.kh/en/homepage,Strong SME + microenterprise lending in cities,"Phnom Penh, Siem Reap, Battambang",High,3,5,3,5,3.0
Tier 2,Cambodia,Khmer Enterprise,Idea,"Government, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://khmerenterprise.info/,Funds and supports startups and SMEs,"Phnom Penh, Siem Reap",High,4,4,4,4,4.0
Tier 2,Cambodia,Friends International,Idea,"Entrepreneur Support Org, NGO",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),4 - International,https://friends-international.org/,Works with marginalized urban youth → livelihoods + small business pathways,"Phnom Penh, Siem Reap",High,5,4,5,4,5.0
Tier 2,Cambodia,Pour un Sourire d’Enfant,Idea,"NGO, Vocational School",4 - Very Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),2 - Regional,https://www.pse.ngo/,Large vocational + entrepreneurship pipeline for youth in Phnom Penh,Phnom Penh,High,4,4,4,4,4.0
Tier 2,Cambodia,Sala Baï Hotel & Restaurant School,Idea,Vocational School,4 - Very Good Fit,5 – Highly Urban-Focused,2 - Fair (50-199),1 - Local,https://www.salabai.com/,Tourism/hospitality -> strong Siem Reap relevance,Siem Reap,High,4,2,4,2,5.0
Tier 2,Cambodia,Women’s Resource Center Cambodia,Idea,"NGO, Women-Focused",5 - Excellent Fit,4 – Strong Urban Presence,2 - Fair (50-199),2 - Regional,https://wrccambodia.org/,"Women entrepreneurs, financial literacy, small business support","Phnom Penh, Siem Reap",Medium,5,2,5,2,4.0
Tier 2,Cambodia,Banteay Srei,Idea,"NGO, Women-Focused",5 - Excellent Fit,2 – Limited Urban Relevance,2 - Fair (50-199),2 - Regional,https://banteaysrei.info/,Women’s economic empowerment (some urban programming),"Siem Reap, Battambang (limited urban programming)",Medium,5,2,5,2,2.0
Tier 2,Cambodia,Cambodian Center for Independent Living,Idea,NGO,4 - Very Good Fit,3 – Mixed (Urban + Rural),2 - Fair (50-199),2 - Regional,https://ppcil.org/,Entrepreneurship pathways for people with disabilities,Phnom Penh,Medium,4,2,4,2,3.0
Tier 2,Cambodia,Cambodia Microfinance Association,Idea,Co-op,2 - Fair Fit,2 – Limited Urban Relevance,"5 - Excellent (1,000+)",3 - National,https://www.cma-network.org/,Gateway to all MFIs (similar to KUSCCO in Kenya),Phnom Penh (through member MFIs nationwide),Low,2,5,2,5,2.0
Tier 2,Cambodia,Shinta Mani Foundation,Idea,NGO,4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),1 - Local,https://shintamanifoundation.org/,"Hospitality-linked foundation supporting livelihoods, small businesses, and community development (especially in Siem Reap); strong access to urban microentrepreneurs in tourism and service sectors, though geographically concentrated.",Siem Reap,High,4,3,4,3,4.0
Tier 2,Cambodia,The Asia Foundation,Idea,INGO,2 - Fair Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),4 - International,https://asiafoundation.org/,"Large INGO working on economic development, financial inclusion, and women’s empowerment in Cambodia; potential access to entrepreneur pipelines is indirect and program-based rather than a consistent sourcing channel.",Phnom Penh,Low,2,4,2,4,2.0
Tier 2,Cambodia,LOLC,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",4 - International,https://www.lolc.com.kh/,"Major microfinance institution with a large base of MSME borrowers across Cambodia; strong scalable pipeline of urban microentrepreneurs, though primarily lending-focused rather than mentorship-driven.","Phnom Penh, Siem Reap, Battambang, Sihanoukville",High,4,5,4,5,3.0
Tier 3,Guatemala,FINCA Guatemala,Idea,"INGO, MFI",5 - Excellent Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),4 - International,https://finca.gt/en/,"Strong group-lending model and structured cohorts; however, a meaningful portion of clients are rural, reducing pure urban alignment.","Guatemala City, Mixco, Villa Nueva, Quetzaltenango",High,5,4,5,4,3.0
Tier 3,Guatemala,Fundación Génesis Empresarial,Idea,"NGO, MFI",5 - Excellent Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.genesisempresarial.org/,One of the strongest partners in Guatemala; large-scale microfinance institution with significant urban microentrepreneur base and direct pipeline.,"Guatemala City, Mixco, Villa Nueva, Escuintla, Quetzaltenango",High,5,5,5,5,3.0
Tier 3,Guatemala,FUNDAP,Idea,"NGO, MFI, Entrepreneur Support Org",3 - Good Fit,2 – Limited Urban Relevance,"5 - Excellent (1,000+)",3 - National,https://www.fundap.com.gt,"Strong organization, but heavily involved in rural livelihoods and value chains; urban microenterprise pipeline is less central.","Quetzaltenango, Huehuetenango, Totonicapán, limited urban operations in Guatemala City",Medium,3,5,3,5,2.0
Tier 3,Guatemala,MICOOPE,Idea,Co-op,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://micoope.com.gt,Large cooperative network with strong reach into microentrepreneurs; slightly indirect but diversified and includes urban segments.,"Guatemala City, Quetzaltenango, Escuintla, Cobán",Medium,4,5,4,5,3.0
Tier 3,Guatemala,Friendship Bridge,Idea,"NGO, Women-Focused, MFI",3 - Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),4 - International,https://www.friendshipbridge.org/,"Highly aligned mission and strong cohort structure, but predominantly rural/indigenous focus limits urban relevance.","Quetzaltenango, Sololá, Chimaltenango, primarily rural/peri-urban indigenous communities",High,3,4,3,4,3.0
Tier 3,Guatemala,Pro Mujer Guatemala,Idea,"Entrepreneur Support Org, Women-Focused, INGO",5 - Excellent Fit,4 – Strong Urban Presence,4 - Very Good (500-999),4 - International,https://promujer.org/gt/es/,One of the best-aligned partners; strong urban/semi-urban women entrepreneur pipeline with integrated services.,"Guatemala City, Mixco, Villa Nueva, Escuintla",High,5,4,5,4,4.0
Tier 3,Guatemala,Red de Instituciones de Microfinanzas de Guatemala,Idea,Co-op,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://redimif.org/en/home/,Aggregates MFIs across the country; very large reach but indirect access to entrepreneurs.,"Guatemala City, Quetzaltenango, Escuintla (through member institutions)",Medium,3,5,3,5,3.0
Tier 3,Nicaragua,Banco FAMA,Idea,MFI,5 - Excellent Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.fama.com.ni/,"One of the largest MFIs in Nicaragua with a strong focus on urban microentrepreneurs and women; direct, scalable pipeline with high alignment to MI’s target population","Managua, León, Granada, Estelí, Masaya",High,5,5,5,5,3.0
Tier 3,Nicaragua,FINCA Nicaragua (FINCA Microfinanzas Nicaragua S.A),Idea,"MFI, INGO",5 - Excellent Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",4 - International,https://finca.org/,"Global microfinance leader using group lending models; strong presence among low-income urban entrepreneurs and proven ability to generate large, structured cohorts.","Managua, León, Chinandega, Estelí",High,5,5,5,5,3.0
Tier 3,Nicaragua,Pro Mujer Nicaragua,Idea,"INGO, Women-Focused, Entrepreneur Support Org",5 - Excellent Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",4 - International,https://promujer.org/ni/es/,"One of the strongest MI-aligned partners globally; combines credit, training, and health services with a large, direct pipeline of women microentrepreneurs.","Managua, León, Masaya",High,5,5,5,5,4.0
Tier 3,Nicaragua,"Fundación León 2000 (LEON 2000 IMF, SA)",Idea,"NGO, MFI",4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),2 - Regional,https://www.leon2000imf.com/views/web_page/nuestra_historia/,Smaller microfinance-focused organization serving local entrepreneurs; strong alignment but more limited and geographically concentrated pipeline.,"León, Chinandega",High,4,3,4,3,3.0
Tier 3,Nicaragua,SOS Children's Villages Nicaragua,Idea,INGO,2 - Fair Fit,2 – Limited Urban Relevance,3 - Good (200-499),4 - International,https://www.sos-childrensvillages.org/where-we-help/americas/nicaragua,"Focuses on youth and family livelihoods; potential pipeline through transition-to-work programs, but not consistently microenterprise-focused.","Managua, León, Estelí",Low,2,3,2,3,2.0
Tier 3,Nicaragua,Movimiento de Mujeres Trabajadoras y Desempleadas María Elena Cuadra,Idea,"NGO, Women-Focused",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),2 - Regional,https://www.facebook.com/MEC.Managua/,"Works with women in informal and urban labor sectors; strong mission alignment and grassroots access, though less structured pipeline.",Managua,High,4,3,4,3,4.0
